CODUSU,NRO_HOGAR,NIVEL_ED,CH03,CH04,CH06,CH07,PP04A,CAT_OCUP,INTENSI,PP3E_TOT,CATEGORIA,CALIFICACION,P21
TQRMNOPVRHJNKMCDEIGED00659142,1,Secundaria incompleta,Jefe/a,Mujer,42,casado?,...privada,Obrero o empleado,Sobreocupado,48,Ocupaciones de servicios de limpieza no domésticos,No calificados,30000
TQRMNOPVRHJNKMCDEIGED00659142,1,Primaria incompleta (incluye educacion especial),Conyuge / Pareja,Varon,41,casado?,...privada,Obrero o empleado,Sobreocupado,84,Ocupaciones del transporte,Operativos,15000
TQRMNOPVQHLMLNCDEIGED00638312,1,Secundaria completa,Jefe/a,Varon,47,unido?,...privada,Obrero o empleado,Ocupado pleno,42,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,45000
TQRMNOPVQHLMLNCDEIGED00638312,1,Secundaria completa,Conyuge / Pareja,Mujer,42,unido?,...privada,Obrero o empleado,Ocupado pleno,42,"Ocupaciones de la gestión presupuestaria, contable y financiera",Operativos,35000
TQRMNORQSHLMLLCDEIGED00638298,1,Superior universitaria completa,Jefe/a,Mujer,68,soltero/a?,...privada,Cuenta propia,Sobreocupado,56,Ocupaciones de la producción industrial y artesanal,Operativos,5000
TQRMNORQVHLMLLCDEIGED00638249,1,Superior universitaria incompleta,Jefe/a,Varon,39,unido?,...estatal,Obrero o empleado,Ocupado pleno,40,"Ocupaciones de la gestión presupuestaria, contable y financiera",Operativos,40000
TQRMNORQVHLMLLCDEIGED00638249,1,Superior universitaria completa,Conyuge / Pareja,Mujer,36,unido?,...estatal,Obrero o empleado,Sobreocupado,84,Ocupaciones de la salud y sanidad,Profesionales,130000
TQRMNOQTPHJNLOCDEIGED00659162,1,Primaria incompleta (incluye educacion especial),Jefe/a,Varon,52,soltero/a?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de los servicios sociales varios,Operativos,30000
TQRMNOQTPHJNLOCDEIGED00659162,1,Primaria incompleta (incluye educacion especial),No familiares,Varon,50,casado?,...estatal,Obrero o empleado,Ocupado pleno,30,Ocupaciones de servicios de limpieza no domésticos,No calificados,30000
TQRMNOSSXHJMKPCDEIGED00659164,1,Secundaria incompleta,Hijo/a Hijastro/a,Varon,24,soltero/a?,...privada,Obrero o empleado,Sobreocupado,40,Ocupaciones del cuidado y la atención de personas,Operativos,40000
TQRMNOTYUHLLKMCDEIHJF00638403,1,Superior universitaria completa,Jefe/a,Varon,48,unido?,...estatal,Obrero o empleado,Ocupado pleno,35,Ocupaciones de la educación,Técnicos,50000
TQRMNOTYUHLLKMCDEIHJF00638403,1,Superior universitaria completa,Conyuge / Pareja,Mujer,47,unido?,...estatal,Obrero o empleado,Ocupado pleno,35,Ocupaciones de la educación,Técnicos,50000
TQRMNOQVXHKKKNCDEIHJF00655610,1,Superior universitaria completa,Jefe/a,Mujer,64,separado/a o divorsiado/a?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Técnicos,27000
TQRMNOPRRHKKKNCDEIHJF00655585,1,Secundaria incompleta,Jefe/a,Varon,60,casado?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de la producción industrial y artesanal,Operativos,61000
TQRMNORURHKMKMCDEIHJF00655592,1,Secundaria completa,Jefe/a,Varon,31,unido?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de la producción de software,Técnicos,40000
TQRMNORURHKMKMCDEIHJF00655592,1,Superior universitaria incompleta,Conyuge / Pareja,Mujer,30,unido?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de los servicios de alojamiento y turismo,Operativos,17000
TQRMNOPWTHMMKSCDEIHJF00632750,1,Secundaria incompleta,Hijo/a Hijastro/a,Varon,33,unido?,...privada,Obrero o empleado,Ocupado pleno,30,Ocupaciones de la producción industrial y artesanal,Operativos,52000
TQRMNORSUHMMKSCDEIHJF00632711,1,Primaria completa,Jefe/a,Varon,45,casado?,...privada,Obrero o empleado,Ocupado pleno,45,Ocupaciones de la producción industrial y artesanal,Operativos,48000
TQRMNORYRHMKMPCDEIIAD00638571,1,Superior universitaria incompleta,Hijo/a Hijastro/a,Mujer,33,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,32,Ocupaciones de la producción industrial y artesanal,Técnicos,-9
TQRMNORYUHKLKNCDEIIAD00655635,1,Superior universitaria completa,Jefe/a,Mujer,42,soltero/a?,...estatal,Obrero o empleado,Ocupado pleno,44,Ocupaciones de la investigación,Profesionales,50000
TQRMNOSQUHLLMRCDEIIAD00638494,1,Secundaria completa,Jefe/a,Varon,31,unido?,...privada,Cuenta propia,Ocupado pleno,20,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Operativos,15000
TQRMNOQVSHKKMSCDEIIAD00655668,1,Secundaria completa,Jefe/a,Varon,59,unido?,...privada,Cuenta propia,Subocupado por insuficiencia horaria,30,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Operativos,-9
TQRMNOQVSHKKMSCDEIIAD00655668,1,Secundaria completa,Conyuge / Pareja,Mujer,51,unido?,...privada,Obrero o empleado,Sobreocupado,50,Ocupaciones de los servicios de alojamiento y turismo,Operativos,-9
TQRMNOPPWHLKMSCDEIIAD00638593,1,Superior universitaria incompleta,Hijo/a Hijastro/a,Mujer,26,soltero/a?,...privada,Obrero o empleado,Sobreocupado,50,Ocupaciones de la comercialización directa,Operativos,43000
TQRMNOQSXHMMOLCDEIIAD00655746,1,Superior universitaria completa,Jefe/a,Mujer,26,soltero/a?,...estatal,Obrero o empleado,Sobreocupado,48,Ocupaciones de servicios policiales,Operativos,42000
TQRMNOPTUHLLNUCDEIIAD00638653,1,Superior universitaria incompleta,Jefe/a,Mujer,26,soltero/a?,...privada,Obrero o empleado,Sobreocupado,60,Ocupaciones de la educación,Técnicos,-9
TQRMNORTYHLLNUCDEIIAD00644830,1,Superior universitaria incompleta,Jefe/a,Mujer,32,soltero/a?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones de la gestión presupuestaria, contable y financiera",Operativos,35000
TQRMNOPVPHLMOLCDEIIAD00638527,1,Superior universitaria completa,Jefe/a,Varon,55,casado?,...privada,Obrero o empleado,Ocupado pleno,40,Ocupaciones de la comunicación de masas,Técnicos,-9
TQRMNOPVPHLMOLCDEIIAD00638527,1,Superior universitaria completa,Conyuge / Pareja,Mujer,56,casado?,...privada,Cuenta propia,Ocupado pleno,16,Ocupaciones de la asesoria y la consultaría,Técnicos,-9
TQRMNORQWHMMNPCDEIIAD00632832,1,Superior universitaria completa,Jefe/a,Varon,32,unido?,...estatal,Obrero o empleado,Ocupado pleno,40,"Ocupaciones de la gestión presupuestaria, contable y financiera",Técnicos,55000
TQRMNORQWHMMNPCDEIIAD00632832,1,Superior universitaria completa,Conyuge / Pareja,Mujer,32,unido?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,45000
TQRMNORRPHMMNPCDEIIAD00633008,1,Secundaria completa,Jefe/a,Mujer,32,unido?,...privada,Obrero o empleado,Ocupado pleno,20,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,35000
TQRMNORRPHMMNPCDEIIAD00633008,1,Superior universitaria completa,Conyuge / Pareja,Varon,35,unido?,...privada,Obrero o empleado,Ocupado pleno,45,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,40000
TQRMNORTVHMMNPCDEIIAD00655811,1,Secundaria incompleta,Jefe/a,Mujer,45,soltero/a?,...privada,Cuenta propia,Sobreocupado,59,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Técnicos,-9
TQRMNORXXHMMOOCDEIIAD00633049,1,Primaria incompleta (incluye educacion especial),Jefe/a,Varon,67,casado?,...privada,Obrero o empleado,Sobreocupado,48,Ocupaciones de servicios de limpieza no domésticos,Operativos,-9
TQRMNOQQWHKNOOCDEIIAD00655680,1,Superior universitaria completa,Jefe/a,Mujer,33,unido?,...estatal,Obrero o empleado,Ocupado pleno,35,Ocupaciones de la gestión jurídico-legal,Profesionales,60000
TQRMNORWSHLNTPCDEIJAH00638796,1,Secundaria completa,Jefe/a,Mujer,48,casado?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de la comercialización directa,Operativos,45000
TQRMNORWSHLNTPCDEIJAH00638796,1,Secundaria completa,Conyuge / Pareja,Varon,49,casado?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de los servicios de vigilancia y seguridad civil,No calificados,46000
TQRMNORRXHKORMCDEIJAH00656090,1,Primaria completa,Jefe/a,Varon,55,casado?,...estatal,Obrero o empleado,Sobreocupado,48,"Ocupaciones de la gestión presupuestaria, contable y financiera",Operativos,30000
TQRMNORWXHLKSPCDEIJAH00639251,1,Superior universitaria incompleta,Jefe/a,Mujer,30,soltero/a?,...privada,Obrero o empleado,Subocupado por insuficiencia horaria,27,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Técnicos,45000
TQRMNOQUUHKMROCDEIJAH00655864,1,Superior universitaria incompleta,Jefe/a,Varon,47,unido?,...privada,Cuenta propia,Ocupado que no trabajo en la semana,0,Ocupaciones de la comercialización directa,Técnicos,15000
TQRMNORXUHLKLPCDEIJAH00645867,1,Secundaria completa,Jefe/a,Varon,44,casado?,...privada,Obrero o empleado,Ocupado pleno,40,"Ocupaciones del almacenaje de insumos, materias primas, mercaderías e instrumentos",Operativos,85000
TQRMNOSVSHKNPOCDEIJAH00656155,1,Superior universitaria completa,Jefe/a,Varon,41,unido?,...estatal,Obrero o empleado,Sobreocupado,48,Ocupaciones de servicios policiales,Operativos,70000
TQRMNOSVSHKNPOCDEIJAH00656155,1,Secundaria completa,Conyuge / Pareja,Mujer,36,unido?,...estatal,Obrero o empleado,Ocupado pleno,40,Ocupaciones de servicios policiales,Operativos,65000
TQRMNORPVHKKPPCDEIJAH00656158,1,Superior universitaria completa,Hijo/a Hijastro/a,Varon,40,soltero/a?,...privada,Obrero o empleado,Sobreocupado,48,Ns.Nc,Ns.Nc,-9
TQRMNORRTHKKPQCDEIJAH00656054,1,Secundaria completa,Jefe/a,Varon,38,unido?,...privada,Obrero o empleado,Ocupado pleno,40,Ocupaciones de la comercialización directa,Operativos,35000
TQRMNOPSSHMLPSCDEIJAH00633778,1,Secundaria completa,Jefe/a,Varon,63,casado?,...privada,Obrero o empleado,Ocupado pleno,42,Directivos de grandes empresas privadas productoras de bienes y servicios,Profesionales,92000
TQRMNOQXUHMLPSCDEIJAH00633253,1,Superior universitaria completa,Conyuge / Pareja,Varon,62,casado?,...privada,Obrero o empleado,Ocupado pleno,35,Ocupaciones de la salud y sanidad,Técnicos,-9
TQRMNOSUYHLMKMCDEIJAH00639226,1,Superior universitaria completa,Conyuge / Pareja,Mujer,48,unido?,...privada,Obrero o empleado,Sobreocupado,48,Ocupaciones de la educación,Técnicos,31000
TQRMNOQXRHKMKNCDEIJAH00655974,1,Primaria completa,Conyuge / Pareja,Mujer,65,casado?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de servicios de limpieza no domésticos,No calificados,7800
TQRMNOQRWHLLKNCDEIJAH00638960,1,Secundaria completa,Jefe/a,Varon,60,casado?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones del almacenaje de insumos, materias primas, mercaderías e instrumentos",Operativos,-9
TQRMNOPQTHKMONCDEIJAH00656132,1,Primaria completa,Jefe/a,Varon,50,casado?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de la producción industrial y artesanal,Operativos,30000
TQRMNOQTRHLOONCDEIJAH00639335,1,Secundaria completa,Otros Familiares,Mujer,56,soltero/a?,...estatal,Obrero o empleado,Ocupado pleno,40,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,-9
TQRMNORRWHMNROCDEIJAH00633454,1,Primaria completa,Hijo/a Hijastro/a,Varon,38,soltero/a?,...privada,Cuenta propia,Subocupado por insuficiencia horaria,15,Ocupaciones de la reparación de bienes de consumo,Operativos,5000
TQRMNORWSHMNROCDEIJAH00633524,1,Secundaria incompleta,Yerno/Nuera,Varon,34,unido?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Operativos,-9
TQRMNORWSHMNROCDEIJAH00633524,1,Primaria incompleta (incluye educacion especial),Hijo/a Hijastro/a,Mujer,56,soltero/a?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de los servicios domésticos,No calificados,12000
TQRMNOSYQHKOPLCDEIJAH00656321,1,Secundaria incompleta,Hijo/a Hijastro/a,Varon,38,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,15,Ocupaciones de la comercialización directa,Operativos,5000
TQRMNORPVHLNTPCDEIJAH00645387,1,Primaria completa,Jefe/a,Varon,65,casado?,...privada,Obrero o empleado,Ocupado pleno,20,Ocupaciones de la reparación de bienes de consumo,Operativos,20000
TQRMNOQSRHMMTQCDEIJAH00633934,1,Superior universitaria incompleta,Jefe/a,Mujer,51,separado/a o divorsiado/a?,...privada,Obrero o empleado,Ocupado pleno,45,"Ocupaciones de la gestión presupuestaria, contable y financiera",Técnicos,30000
TQRMNOQSSHMMTQCDEIJAH00633664,1,Superior universitaria completa,Jefe/a,Mujer,39,soltero/a?,...estatal,Obrero o empleado,Sobreocupado,28,Ocupaciones de la salud y sanidad,Profesionales,-9
TQRMNORWWHMMTQCDEIJAH00633619,1,Secundaria completa,Jefe/a,Varon,48,casado?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Operativos,35000
TQRMNORWWHMMTQCDEIJAH00633619,1,Secundaria incompleta,Conyuge / Pareja,Mujer,53,casado?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de la producción industrial y artesanal,Operativos,30000
TQRMNOQXPHKMNMCDEIJAH00656181,1,Superior universitaria incompleta,Jefe/a,Varon,50,soltero/a?,...privada,Cuenta propia,Subocupado por insuficiencia horaria,16,Ocupaciones de la comercialización directa,Operativos,70000
TQRMNOQTWHKMNNCDEIJAH00655993,1,Superior universitaria completa,Jefe/a,Varon,46,casado?,...privada,Cuenta propia,Subocupado por insuficiencia horaria,24,Ocupaciones de la comercialización directa,Operativos,50000
TQRMNOQTWHKMNNCDEIJAH00655993,1,Superior universitaria incompleta,Hijo/a Hijastro/a,Varon,20,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,40,"Ocupaciones de la instalación y mantenimiento de maquinaria, equipos y sistemas de la producción de bienes",Operativos,45000
TQRMNOTPVHKMNNCDEIJAH00656317,1,Superior universitaria completa,Jefe/a,Mujer,55,unido?,...estatal,Obrero o empleado,Ocupado pleno,20,Ocupaciones de la educación,Técnicos,30000
TQTMNOPRWHMMMUCDEIJAH00633830,1,Secundaria incompleta,Jefe/a,Mujer,31,soltero/a?,...de otro tipo,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de la reparación de bienes de consumo,Operativos,8400
TQRMNOQWVHMMMUCDEIJAH00638851,1,Superior universitaria completa,Jefe/a,Mujer,68,soltero/a?,...estatal,Obrero o empleado,Ocupado pleno,36,Ocupaciones de la salud y sanidad,Técnicos,35000
TQRMNOPURHLMLLCDEIJAH00639181,1,Secundaria completa,Yerno/Nuera,Varon,25,unido?,...privada,Obrero o empleado,Subocupado por insuficiencia horaria,30,Ocupaciones de la producción industrial y artesanal,Operativos,27000
TQRMNOQVUHLMLLCDEIJAH00638950,1,Superior universitaria incompleta,Jefe/a,Varon,38,soltero/a?,...privada,Cuenta propia,Subocupado por insuficiencia horaria,10,Ocupaciones de la producción industrial y artesanal,Operativos,15000
TQRMNOPSSHMOLNCDEIJAH00633909,1,Primaria completa,Jefe/a,Varon,41,separado/a o divorsiado/a?,...privada,Obrero o empleado,Sobreocupado,48,Ocupaciones del transporte,Operativos,59000
TQSMNOPSSHMOLNCDEIJAH00639630,1,Secundaria completa,Conyuge / Pareja,Varon,37,unido?,...privada,Obrero o empleado,Ocupado pleno,40,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Operativos,-9
TQRMNOPSTHMOLNCDEIJAH00633844,1,Secundaria completa,Jefe/a,Mujer,35,unido?,...privada,Obrero o empleado,Ocupado pleno,6,Ns.Nc,Ns.Nc,12000
TQRMNOPSXHLOLRCDEIJAH00639537,1,Secundaria incompleta,Jefe/a,Varon,46,separado/a o divorsiado/a?,...privada,Cuenta propia,Sobreocupado,70,Ocupaciones de la comercialización directa,Operativos,5600
TQRMNORYXHLOLRCDEIJAH00639370,1,Primaria completa,Conyuge / Pareja,Varon,55,unido?,...privada,Cuenta propia,Ocupado pleno,40,Ocupaciones del transporte,Operativos,10000
TQRMNOSPPHLOLRCDEIJAH00639289,1,Superior universitaria completa,Jefe/a,Varon,47,unido?,...estatal,Obrero o empleado,Ocupado pleno,42,Ocupaciones de servicios policiales,Técnicos,50000
TQRMNOSPQHLOLRCDEIJAH00639290,1,Secundaria incompleta,Jefe/a,Varon,55,casado?,...privada,Obrero o empleado,Ocupado pleno,45,"Ocupaciones del almacenaje de insumos, materias primas, mercaderías e instrumentos",Operativos,30000
TQRMNOSPQHLOLRCDEIJAH00639290,1,Secundaria incompleta,Conyuge / Pareja,Mujer,53,casado?,...privada,Cuenta propia,Ocupado pleno,35,Ocupaciones de la comercialización directa,Operativos,5000
TQRMNORSUHMOKSCDEHPJB00632426,1,Secundaria completa,Jefe/a,Varon,43,casado?,...privada,Obrero o empleado,Ocupado pleno,45,"Ocupaciones del almacenaje de insumos, materias primas, mercaderías e instrumentos",Técnicos,38000
TQRMNOTSVHMOKSCDEHPJB00632423,1,Secundaria incompleta,Jefe/a,Mujer,33,separado/a o divorsiado/a?,...privada,Obrero o empleado,Sobreocupado,56,Ocupaciones de la producción industrial y artesanal,Operativos,15000
TQRMNOPVTHLMLNCDEIGED00638308,1,Primaria completa,Jefe/a,Mujer,59,soltero/a?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de los servicios domésticos,No calificados,5000
TQRMNOPUTHLMKPCDEIGED00638334,1,Secundaria completa,Jefe/a,Varon,60,casado?,...privada,Obrero o empleado,Ocupado pleno,20,Ocupaciones de los servicios domésticos,No calificados,12000
TQRMNOPUTHLMKPCDEIGED00638334,1,Primaria completa,Conyuge / Pareja,Mujer,61,casado?,...privada,Obrero o empleado,Ocupado pleno,30,Ocupaciones del transporte,Operativos,25000
TQRMNOQSYHLMKPCDEIGED00644490,1,Superior universitaria completa,Jefe/a,Varon,35,casado?,...privada,Obrero o empleado,Ocupado pleno,40,Ocupaciones de los servicios de vigilancia y seguridad civil,Operativos,35000
TQRMNOQSYHLMKPCDEIGED00644490,1,Superior universitaria completa,Conyuge / Pareja,Mujer,35,casado?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de la comercialización directa,No calificados,30000
TQRMNOQUWHLMKPCDEIGED00638247,1,Primaria completa,Jefe/a,Varon,46,casado?,...privada,Obrero o empleado,Sobreocupado,48,Ns.Nc,falta informacion,60000
TQRMNORRQHLMKPCDEIGED00638336,1,Secundaria completa,Jefe/a,Varon,25,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,40,Ocupaciones de la producción industrial y artesanal,Operativos,45000
TQRMNORSUHJNKQCDEIGED00659165,1,Secundaria completa,Jefe/a,Varon,47,casado?,...privada,Obrero o empleado,Sobreocupado,72,"Ocupaciones del almacenaje de insumos, materias primas, mercaderías e instrumentos",No calificados,40000
TQRMNOSVWHMNKNCDEIHJF00632699,1,Secundaria completa,Jefe/a,Varon,42,separado/a o divorsiado/a?,...privada,Obrero o empleado,Ocupado pleno,40,Ocupaciones del transporte,Operativos,25000
TQRMNOPRVHKLKRCDEIHJF00655615,1,Superior universitaria incompleta,Jefe/a,Varon,45,casado?,...estatal,Obrero o empleado,Ocupado pleno,42,Ns.Nc,falta informacion,57000
TQRMNORWVHLNKOCDEIHJF00638473,2,Secundaria completa,Jefe/a,Varon,31,soltero/a?,...estatal,Obrero o empleado,Ocupado pleno,40,Ocupaciones del transporte,Operativos,60000
TQRMNOPVXHMMKPCDEIHJF00632662,1,Secundaria completa,Jefe/a,Mujer,28,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,45,Ocupaciones de la producción industrial y artesanal,Operativos,52000
TQRMNORRYHMMKPCDEIHJF00632709,1,Secundaria completa,Jefe/a,Varon,54,unido?,...privada,Cuenta propia,Ocupado pleno,30,"Ocupaciones de la construcción edilicia, de obras de infraestructura y de redes de distribución de energía, agua potable, gas, telefonía y petróleo",Operativos,15000
TQRMNORYXHKMKMCDEIHJF00655602,1,Secundaria completa,Conyuge / Pareja,Varon,24,unido?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de la comercialización directa,Operativos,40000
TQSMNORYXHKMKMCDEIHJF00655612,1,Secundaria completa,Jefe/a,Varon,33,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,36,Ocupaciones de los servicios de vigilancia y seguridad civil,No calificados,34000
TQRMNOSQXHKMKMCDEIHJF00655555,1,Superior universitaria completa,Jefe/a,Mujer,34,soltero/a?,...estatal,Obrero o empleado,Subocupado por insuficiencia horaria,9,Ocupaciones de la educación,Operativos,25000
TQRMNOPPRHKKKMCDEIHJF00655577,1,Secundaria completa,Jefe/a,Mujer,50,soltero/a?,...privada,Cuenta propia,Subocupado por insuficiencia horaria,6,Ocupaciones del cuidado y la atención de personas,Operativos,10000
TQRMNOUPPHMOKQCDEIHJF00655619,1,Superior universitaria completa,Jefe/a,Mujer,44,soltero/a?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,Ocupaciones de la salud y sanidad,Técnicos,48000
TQRMNOPTSHLLKQCDEIHJF00638425,1,Secundaria completa,Conyuge / Pareja,Varon,44,casado?,...estatal,Obrero o empleado,Ocupado pleno,40,Ocupaciones de las FFAA Gendarmería y Prefectura,Técnicos,-9
TQRMNOQXSHLOKNCDEIHJF00638426,1,Secundaria incompleta,Jefe/a,Varon,41,casado?,...estatal,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,80000
TQRMNORQQHLKMSCDEIIAD00638740,1,Secundaria completa,Hijo/a Hijastro/a,Varon,28,soltero/a?,...privada,Obrero o empleado,Sobreocupado,50,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,42000
TQRMNOTSVHLKMUCDEIIAD00638586,1,Superior universitaria completa,Jefe/a,Mujer,43,separado/a o divorsiado/a?,...privada,Cuenta propia,Ocupado pleno,27,Ocupaciones de la salud y sanidad,Profesionales,-9
TQRMNOTSTHMONMCDEIIAD00633004,1,Superior universitaria completa,Jefe/a,Mujer,41,casado?,...estatal,Obrero o empleado,Ocupado pleno,35,Ocupaciones de la salud y sanidad,Técnicos,40000
TQRMNOTSTHMONMCDEIIAD00633004,1,Superior universitaria completa,Conyuge / Pareja,Varon,46,casado?,...privada,Obrero o empleado,Ocupado pleno,42,Ocupaciones de la salud y sanidad,Técnicos,75000
TQRMNOTSTHMONMCDEIIAD00633004,1,Superior universitaria incompleta,Hijo/a Hijastro/a,Varon,21,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,35,Ocupaciones de la salud y sanidad,Técnicos,35000
TQRMNOPTSHMLLRCDEIIAD00655718,1,Secundaria incompleta,Jefe/a,Varon,42,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,24,Ocupaciones de servicios de limpieza no domésticos,Operativos,14000
TQRMNOQWWHMLLRCDEIIAD00638722,1,Superior universitaria incompleta,Jefe/a,Mujer,34,soltero/a?,...estatal,Obrero o empleado,Sobreocupado,60,Ocupaciones de la comunicación de masas,Técnicos,45000
TQRMNOQWWHMLLRCDEIIAD00638722,1,Superior universitaria completa,No familiares,Mujer,34,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,36,Ocupaciones de la producción industrial y artesanal,Técnicos,30000
TQRMNOQYPHMLLRCDEIIAD00632936,1,Secundaria completa,Jefe/a,Varon,49,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,43,"Ocupaciones del almacenaje de insumos, materias primas, mercaderías e instrumentos",Operativos,57000
TQRMNOPVVHMKLSCDEIIAD00632878,1,Superior universitaria completa,Jefe/a,Varon,44,casado?,...de otro tipo,Obrero o empleado,Ocupado pleno,45,"Ocupaciones de la gestión presupuestaria, contable y financiera",Profesionales,50000
TQRMNOPVVHMKLSCDEIIAD00632878,1,Superior universitaria incompleta,Conyuge / Pareja,Mujer,40,casado?,...privada,Obrero o empleado,Ocupado pleno,30,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Técnicos,50000
TQRMNORYRHMKLSCDEIIAD00632986,1,Superior universitaria completa,Jefe/a,Mujer,51,separado/a o divorsiado/a?,...privada,Obrero o empleado,Ocupado pleno,40,"Ocupaciones de la gestión presupuestaria, contable y financiera",Profesionales,60000
TQRMNORYSHMKLSCDEIIAD00632938,1,Secundaria completa,Jefe/a,Mujer,54,separado/a o divorsiado/a?,...privada,Obrero o empleado,Ocupado que no trabajo en la semana,0,"Ocupaciones de la gestión presupuestaria, contable y financiera",Operativos,24000
TQRMNORYSHMKLSCDEIIAD00632938,1,Superior universitaria incompleta,Hijo/a Hijastro/a,Varon,24,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,20,"Ocupaciones de la gestión presupuestaria, contable y financiera",Técnicos,10000
TQRMNORYSHMKLSCDEIIAD00632938,1,Secundaria incompleta,Otros Familiares,Varon,53,separado/a o divorsiado/a?,...privada,Obrero o empleado,Ocupado pleno,30,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Operativos,26000
TQRMNOQQWHKNOOCDEIIAD00655680,1,Secundaria completa,Conyuge / Pareja,Varon,34,unido?,...privada,Obrero o empleado,Ocupado pleno,45,"Ocupaciones de la gestión presupuestaria, contable y financiera",Operativos,50000
TQRMNORVTHKNOOCDEIIAD00655727,1,Superior universitaria incompleta,Jefe/a,Mujer,21,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,20,"Ocupaciones de la gestión presupuestaria, contable y financiera",Técnicos,20000
TQRMNORVTHKNOOCDEIIAD00655727,1,Superior universitaria completa,Hermano/a,Varon,25,soltero/a?,...privada,Obrero o empleado,Ocupado pleno,40,"Ocupaciones de la gestión presupuestaria, contable y financiera",Profesionales,80000
TQRMNOQVPHKOLQCDEIIAD00655734,1,Superior universitaria completa,Jefe/a,Mujer,28,unido?,...privada,Cuenta propia,Subocupado por insuficiencia horaria,10,Ocupaciones de la salud y sanidad,Técnicos,10000
TQRMNORXQHKOLQCDEIIAD00655735,1,Superior universitaria incompleta,Jefe/a,Varon,42,casado?,...privada,Obrero o empleado,Sobreocupado,60,"Ocupaciones de la instalación y mantenimiento de maquinaria, equipos y sistemas",Técnicos,50000
TQRMNORXQHKOLQCDEIIAD00655735,1,Superior universitaria completa,Conyuge / Pareja,Mujer,44,casado?,...privada,Obrero o empleado,Ocupado pleno,45,"Ocupaciones de la gestión administrativa, planificación y control de gestión",Profesionales,35000
